model_variant,attack_variant,target_pool_mode,target_count_goal,num_seeds,seeds,attempted_nodes_mean,attempted_nodes_std,attempted_nodes_sample_std,attempted_nodes_sem,attempted_nodes_ci95_half_width,attempted_nodes_ci95_low,attempted_nodes_ci95_high,attempted_nodes_min,attempted_nodes_max,successful_attacks_mean,successful_attacks_std,successful_attacks_sample_std,successful_attacks_sem,successful_attacks_ci95_half_width,successful_attacks_ci95_low,successful_attacks_ci95_high,successful_attacks_min,successful_attacks_max,evaluated_targets_mean,evaluated_targets_std,evaluated_targets_sample_std,evaluated_targets_sem,evaluated_targets_ci95_half_width,evaluated_targets_ci95_low,evaluated_targets_ci95_high,evaluated_targets_min,evaluated_targets_max
clean-training,clean-training,successful-attacks,1,1,42,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,successful-attacks,1,1,42,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
