seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,failure_reason_counts
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8303289977457667,0.6606579954915333,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8361501768988812,0.6723003537977622,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,4,0.897332051713411,0.7946641034268226,positive-radius:4; prediction-incorrect:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.967301891598178,0.9346037831963563,prediction-incorrect:4; zero-radius:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0,0.959861062811873,0.9197221256237463,prediction-incorrect:4; zero-radius:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.25,1,0.9300818853567566,0.8601637707135131,positive-radius:3; prediction-incorrect:4; zero-radius:5
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8420173148991131,0.684034629798226,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.25,1,0.8374376406469648,0.6748752812939295,positive-radius:3; prediction-incorrect:8; zero-radius:1
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,4,0.8980665332433387,0.7961330664866777,positive-radius:4; prediction-incorrect:8
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9666052145610485,0.933210429122097,prediction-incorrect:3; zero-radius:9
