p_delete,clean_test_accuracy,attacked_test_accuracy,clean_margin,attacked_margin,clean_pA_lower,attacked_pA_lower,clean_pred,attacked_pred,clean_is_correct,attacked_is_correct,true_label
0.05,0.806,0.805,1.0,0.988,0.9849131592259058,0.9724348788746924,2,0,1,0,2
0.1,0.805,0.804,1.0,0.9279999999999999,0.9849131592259058,0.9280135681252818,2,0,1,0,2
0.2,0.806,0.806,1.0,0.8200000000000001,0.9849131592259058,0.8605643232929396,2,0,1,0,2
0.3,0.807,0.805,1.0,0.732,0.9849131592259058,0.8093811363360011,2,0,1,0,2
0.4,0.802,0.801,1.0,0.6240000000000001,0.9849131592259058,0.7489636873171934,2,0,1,0,2
