threshold,attack_budget,clean_test_accuracy,attacked_test_accuracy,clean_edge_retention,attacked_edge_retention,clean_mean_jaccard,attacked_mean_jaccard
0.0,50,0.817,0.791,1.0,1.0,0.09369021654129028,0.09291596710681915
0.01,50,0.805,0.796,0.8916256157635468,0.8853228228228228,0.09369021654129028,0.09291596710681915
0.02,50,0.805,0.796,0.8916256157635468,0.8853228228228228,0.09369021654129028,0.09291596710681915
0.05,50,0.783,0.78,0.695907540735127,0.6903153153153153,0.09369021654129028,0.09291596710681915
