seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.0,0,0.9361778925664848
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.2727272727272727,0.2727272727272727,2,0.9627995731521366
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.2727272727272727,0.2727272727272727,2,0.966688555476307
7,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.2727272727272727,0.2727272727272727,5,0.9806412752037577
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.0,0,0.9655181275910695
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.0,0,0.9528054665888416
42,fixed-config,clean-training,clean-training,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.0,0,0.9215290377556618
42,fixed-config,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,2,0.9811771485586083
42,fixed-config,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,2,0.9811771485586083
42,fixed-config,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9811771485586083
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.0,0,0.9676796129297996
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.0,0,0.9502849434973634
42,fixed-config,clean-training,clean-training,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.0,0,0.9313407158112302
42,fixed-config,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,2,0.9811771485586083
