epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
52,0.7741143107414246,0.9785714285714285,0.788,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
53,0.7680057883262634,0.9785714285714285,0.79,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
54,0.7444950342178345,0.9785714285714285,0.784,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
55,0.7282572984695435,0.9785714285714285,0.78,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
56,0.7332826256752014,0.9785714285714285,0.778,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
57,0.6758379340171814,0.9785714285714285,0.784,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
58,0.694199800491333,0.9785714285714285,0.784,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
59,0.703544557094574,0.9785714285714285,0.792,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
60,0.665754497051239,0.9857142857142858,0.794,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
61,0.6280319690704346,0.9857142857142858,0.792,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
62,0.6144285202026367,0.9857142857142858,0.794,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
63,0.6089730858802795,0.9857142857142858,0.794,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
64,0.6144832968711853,0.9857142857142858,0.796,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
65,0.5863734483718872,0.9857142857142858,0.792,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
66,0.5636166930198669,0.9857142857142858,0.792,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
67,0.563911497592926,0.9857142857142858,0.786,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
68,0.5709357261657715,0.9857142857142858,0.788,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
69,0.5633771419525146,0.9857142857142858,0.79,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
70,0.5494243502616882,0.9857142857142858,0.792,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
71,0.5274598598480225,0.9857142857142858,0.786,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
72,0.49644142389297485,0.9857142857142858,0.792,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
73,0.5295301675796509,0.9857142857142858,0.798,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
74,0.5047861933708191,0.9857142857142858,0.8,0.824,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
75,0.5363348722457886,0.9857142857142858,0.8,0.826,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
76,0.47147560119628906,0.9857142857142858,0.8,0.825,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
77,0.49903184175491333,0.9857142857142858,0.798,0.826,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
78,0.4687807261943817,0.9857142857142858,0.798,0.824,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
79,0.47021615505218506,0.9857142857142858,0.798,0.825,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
80,0.47995638847351074,0.9857142857142858,0.798,0.823,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
