p_delete,clean_test_accuracy,attacked_test_accuracy,clean_margin,attacked_margin,clean_pA_lower,attacked_pA_lower,clean_pred,attacked_pred,clean_is_correct,attacked_is_correct,true_label
0.05,0.816,0.815,0.7100000000000001,0.984,0.7423720915497436,0.9689459413287234,0,2,1,0,0
0.1,0.817,0.816,0.436,0.976,0.5522899373133185,0.9623852021396418,0,2,1,0,0
0.2,0.817,0.816,0.15600000000000003,0.8740000000000001,0.36731203093759246,0.8896401860034745,0,2,1,0,0
0.3,0.813,0.813,0.03200000000000003,0.738,0.264666928533451,0.7935066873947345,0,2,1,0,0
0.4,0.805,0.808,0.03400000000000003,0.652,0.2553565134349503,0.7248951177149049,4,2,0,0,0
