seed,summary_type,config_branch,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_target_edge_retention,mean_purified_confidence,mean_purified_margin,mean_target_degree,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts,selection_status_counts,failure_reason_counts
42,oracle-best-correct,mainline,clean-training,clean-training,0.01,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586084,0.9623542971172168,0.5666666666666667,0.38664987683296204,0.25118282437324524,2.5,0,2,symmetric-0.3:2,fallback-mainline:2,prediction-incorrect:2
42,oracle-best-correct,mainline,clean-training,clean-training,0.02,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586084,0.9623542971172168,0.5666666666666667,0.38664987683296204,0.25118282437324524,2.5,0,2,symmetric-0.3:2,fallback-mainline:2,prediction-incorrect:2
42,oracle-best-correct,mainline,clean-training,clean-training,0.05,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586084,0.9623542971172168,0.26666666666666666,0.2439461126923561,0.08384063839912415,1.0,0,2,symmetric-0.3:2,fallback-mainline:2,prediction-incorrect:2
42,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586084,0.9623542971172168,0.0,0.22632943838834763,0.04502019286155701,0.0,0,2,symmetric-0.3:2,fallback-mainline:2,prediction-incorrect:2
42,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586084,0.9623542971172168,0.0,0.22632943838834763,0.04502019286155701,0.0,0,2,symmetric-0.3:2,fallback-mainline:2,prediction-incorrect:2
42,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586084,0.9623542971172168,0.0,0.22632943838834763,0.04502019286155701,0.0,0,2,symmetric-0.3:2,fallback-mainline:2,prediction-incorrect:2
