seed,summary_type,config_branch,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_target_edge_retention,mean_purified_confidence,mean_purified_margin,mean_target_degree,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts,selection_status_counts,failure_reason_counts
7,selector-heuristic,mainline,clean-training,clean-training,0.01,16,0.25,0.4375,0.0625,0.0,0.0625,0.375,1.875,5,0.9206768490560158,0.8413536981120321,0.6357142857142857,0.4598682140931487,0.2823853208683431,3.4375,8,8,symmetric-0.3:1; symmetric-0.3-top2:15,degree-adaptive:1; low-margin-top2:15,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,selector-heuristic,mainline,clean-training,clean-training,0.02,16,0.3125,0.5,0.0625,0.0625,0.0625,0.375,1.875,5,0.9258126666953076,0.8516253333906154,0.47812499999999997,0.4281607158482075,0.2521155974827707,2.6875,8,8,symmetric-0.3:1; symmetric-0.3-top2:15,degree-adaptive:1; low-margin-top2:15,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
7,selector-heuristic,mainline,clean-training,clean-training,0.05,16,0.75,0.4375,0.0625,0.0,0.0625,0.375,1.875,5,0.9256441098752791,0.8514416741532571,0.2375,0.35268055368214846,0.1681983871385455,1.5625,7,9,symmetric-0.3:1; symmetric-0.3-top2:15,degree-adaptive:1; low-margin-top2:15,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,selector-heuristic,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,16,0.3125,0.5,0.0625,0.0625,0.0625,0.375,1.875,5,0.9261763007313106,0.8523526014626214,0.6638392857142856,0.4310586666688323,0.2357162069529295,3.5625,8,8,symmetric-0.3:2; symmetric-0.3-top2:14,degree-adaptive:2; low-margin-top2:14,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
7,selector-heuristic,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,16,0.375,0.4375,0.0625,0.0,0.0625,0.375,1.875,5,0.9242456096374037,0.8490506846707704,0.475,0.4117382224649191,0.22213272796943784,2.6875,8,8,symmetric-0.3:2; symmetric-0.3-top2:14,degree-adaptive:2; low-margin-top2:14,positive-radius:6; prediction-incorrect:9; zero-radius:1
7,selector-heuristic,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,16,0.6875,0.5,0.0625,0.0625,0.0625,0.375,1.875,5,0.9252292404949825,0.8506109214128222,0.2375,0.3606930021196604,0.18121478660032153,1.5625,8,8,symmetric-0.3-top2:16,low-margin-top2:16,abstained:1; positive-radius:6; prediction-incorrect:8; zero-radius:1
