seed,model_variant,attack_variant,attempted_nodes,successful_attacks,evaluated_targets,target_count_goal,target_pool_mode
7,clean-training,clean-training,20,16,16,20,successful-attacks
7,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,20,16,16,20,successful-attacks
