seed,summary_type,config_branch,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_target_edge_retention,mean_purified_confidence,mean_purified_margin,mean_target_degree,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts,selection_status_counts,failure_reason_counts
7,selector-heuristic,mainline,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.02,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.5,0.08333333333333333,0.08333333333333333,1,0.6055889376548071,0.21159752490429976,0.3824404761904762,0.28568151717384654,0.13097226433455944,2.1666666666666665,8,4,symmetric-0.3-top2:12,low-margin-top2:12,positive-radius:1; prediction-incorrect:5; zero-radius:6
7,selector-heuristic,mainline,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.05,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,0.16666666666666666,1,0.6069218568404492,0.2148811635656155,0.26190476190476186,0.34251102556784946,0.19378500307599703,1.4166666666666667,8,4,symmetric-0.3-top2:12,low-margin-top2:12,positive-radius:2; prediction-incorrect:5; zero-radius:5
42,selector-heuristic,mainline,clean-training,clean-training,0.01,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9731700347037485,0.946340069407497,0.353030303030303,0.369509067047726,0.2311360009691932,2.0,7,4,symmetric-0.3:1; symmetric-0.3-top2:10,default-symmetric:1; low-margin-top2:10,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,clean-training,clean-training,0.02,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.975535711534641,0.951071423069282,0.353030303030303,0.369509064338424,0.23113599758256564,2.0,7,4,symmetric-0.3:1; symmetric-0.3-top2:10,default-symmetric:1; low-margin-top2:10,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,clean-training,clean-training,0.05,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9711895895439809,0.9423791790879616,0.26504329004329,0.4274342412298376,0.28848355737599457,1.5454545454545454,7,4,symmetric-0.3-top2:11,low-margin-top2:11,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.5833333333333334,0.4166666666666667,0.25,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,1,0.5981983256791844,0.23848767946137708,0.38227513227513227,0.46694790571928024,0.31056810698161524,2.4166666666666665,5,7,symmetric-0.3-top2:12,low-margin-top2:12,abstained:1; positive-radius:1; prediction-incorrect:7; zero-radius:3
42,selector-heuristic,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.5833333333333334,0.3333333333333333,0.25,0.0,0.25,0.08333333333333333,0.08333333333333333,1,0.5847031348061008,0.20958840154955308,0.38227513227513227,0.46694790323575336,0.3105681051189701,2.4166666666666665,5,7,symmetric-0.3-top2:12,low-margin-top2:12,positive-radius:1; prediction-incorrect:8; zero-radius:3
42,selector-heuristic,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.6666666666666666,0.4166666666666667,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,0.5844628651224073,0.2124297802616042,0.2604166666666667,0.5002506747841835,0.38040932718043524,1.5833333333333333,6,6,symmetric-0.3-top2:12,low-margin-top2:12,abstained:1; positive-radius:2; prediction-incorrect:7; zero-radius:2
42,selector-heuristic,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,12,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,0.4785714285714286,0.3164113474388917,0.14141096360981464,2.75,0,12,symmetric-0.3-top2:12,low-margin-top2:12,prediction-incorrect:12
42,selector-heuristic,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,12,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,0.4785714285714286,0.316411342471838,0.1414109611262878,2.75,0,12,symmetric-0.3-top2:12,low-margin-top2:12,prediction-incorrect:12
42,selector-heuristic,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,12,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,0.2913690476190476,0.31927138815323514,0.16344145747522512,1.6666666666666667,0,12,symmetric-0.3-top2:12,low-margin-top2:12,prediction-incorrect:12
42,selector-heuristic,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9811771485586083,0.9623542971172168,0.36818181818181817,0.41413284702734515,0.2681809650226073,2.090909090909091,7,4,symmetric-0.3:1; symmetric-0.3-top2:10,default-symmetric:1; low-margin-top2:10,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9811771485586083,0.9623542971172168,0.36818181818181817,0.4141328416087411,0.26818095554005017,2.090909090909091,7,4,symmetric-0.3:1; symmetric-0.3-top2:10,default-symmetric:1; low-margin-top2:10,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9811771485586083,0.9623542971172168,0.25205627705627703,0.42393602430820465,0.27604797076095233,1.3636363636363635,7,4,symmetric-0.3-top2:11,low-margin-top2:11,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.01,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9719643067498914,0.9439286134997832,0.353030303030303,0.36950906162912195,0.23113599622791464,2.0,7,4,symmetric-0.3:1; symmetric-0.3-top2:10,default-symmetric:1; low-margin-top2:10,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.02,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9734525763221903,0.9469051526443809,0.353030303030303,0.36950906162912195,0.23113599758256564,2.0,7,4,symmetric-0.3:1; symmetric-0.3-top2:10,default-symmetric:1; low-margin-top2:10,positive-radius:7; prediction-incorrect:4
42,selector-heuristic,mainline,purification-aware-symmetric-finetune,purification-aware-symmetric-finetune,0.05,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.970784655706288,0.9415693114125759,0.26504329004329,0.4274342412298376,0.28848355602134357,1.5454545454545454,7,4,symmetric-0.3-top2:11,low-margin-top2:11,positive-radius:7; prediction-incorrect:4
