seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,purification_operator,purification_threshold,certificate_report_strategy,adaptive_profile,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_purified_confidence,mean_purified_margin,mean_target_degree,mean_resolved_p_delete,mean_resolved_p_add,mean_resolved_max_additions,failure_reason_counts
7,fixed-config,mainline,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,jaccard,0.01,rest,,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.5833333333333334,0.0,0,0.609029753684116,0.21805950736823207,0.2856815146903197,0.13097226433455944,2.1666666666666665,0.19999999999999998,0.19999999999999998,160.0,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,jaccard,0.01,rest,,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.607215062466018,0.2144301249320358,0.28568151965737343,0.13097226557632288,2.1666666666666665,0.19999999999999998,0.19999999999999998,160.0,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,jaccard,0.01,rest,,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,1,0.5999281025476602,0.1998562050953203,0.2856815221409003,0.1309722668180863,2.1666666666666665,0.29999999999999993,0.29999999999999993,160.0,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3-top2,symmetric-edge-flip,jaccard,0.01,top2,,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,1,0.6207542913173464,0.24171675830384567,0.2856815221409003,0.1309722668180863,2.1666666666666665,0.29999999999999993,0.29999999999999993,160.0,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3-degree-adaptive,symmetric-edge-flip,jaccard,0.01,rest,degree,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.5995181756132769,0.19903635122655375,0.28568151717384654,0.13097226557632288,2.1666666666666665,0.22874999999999998,0.22874999999999998,108.66666666666667,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.01,balanced-sparse-0.2-degree-adaptive,sparse-edge-flip,jaccard,0.01,rest,degree,0.2,0.2,160,12,0.6666666666666666,0.5,0.4166666666666667,0.0,0.5,0.0,0,0.5767512579047714,0.15350251580954277,0.28568151965737343,0.13097226557632288,2.1666666666666665,0.15249999999999997,0.13583333333333333,108.66666666666667,prediction-incorrect:6; zero-radius:6
7,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3-cosine-top2,symmetric-edge-flip,cosine,0.01,top2,,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.0,0.5,0.08333333333333333,1,0.6067592144915899,0.2139332376055747,0.28568151717384654,0.13097226557632288,2.1666666666666665,0.29999999999999993,0.29999999999999993,160.0,positive-radius:1; prediction-incorrect:5; zero-radius:6
7,fixed-config,mainline,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,jaccard,0.02,rest,,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.5939606506614474,0.1879213013228949,0.2856815221409003,0.1309722668180863,2.1666666666666665,0.19999999999999998,0.19999999999999998,160.0,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,jaccard,0.02,rest,,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6000758137948342,0.20015162758966853,0.28568151965737343,0.13097226557632288,2.1666666666666665,0.19999999999999998,0.19999999999999998,160.0,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,jaccard,0.02,rest,,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5,0.08333333333333333,1,0.6028777052598071,0.20575541051961418,0.28568151965737343,0.13097226433455944,2.1666666666666665,0.29999999999999993,0.29999999999999993,160.0,positive-radius:1; prediction-incorrect:5; zero-radius:6
