seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,purification_operator,purification_threshold,certificate_report_strategy,adaptive_profile,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_purified_confidence,mean_purified_margin,mean_target_degree,mean_resolved_p_delete,mean_resolved_p_add,mean_resolved_max_additions,failure_reason_counts
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.02,rest,,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.4166666666666667,0.25,1,0.9361894089664489,0.8723788179328977,0.39870413144429523,0.23807797580957413,2.4166666666666665,0.049999999999999996,2e-05,160.0,positive-radius:3; prediction-incorrect:4; zero-radius:5
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.05,rest,,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9711342809895399,0.94226856197908,0.3674538532892863,0.19552293419837952,2.0,0.009999999999999998,5e-06,64.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.05,rest,,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9557219859353089,0.9114439718706175,0.3674538532892863,0.19552293419837952,2.0,0.019999999999999997,1e-05,96.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.05,rest,,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.5833333333333334,0.16666666666666666,1,0.924638289501804,0.8492765790036079,0.36745384832223255,0.19552293047308922,2.0,0.049999999999999996,2e-05,160.0,positive-radius:2; prediction-incorrect:3; zero-radius:7
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.01,rest,,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.975876501811146,0.9517530036222928,0.35518744836250943,0.19982043591638407,2.5833333333333335,0.009999999999999998,5e-06,64.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.01,rest,,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9706359106977147,0.94127182139543,0.35518744836250943,0.1998204334328572,2.5833333333333335,0.019999999999999997,1e-05,96.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.01,rest,,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.25,0.5,1,0.9540462808953892,0.9080925617907792,0.35518744836250943,0.19982043219109377,2.5833333333333335,0.049999999999999996,2e-05,160.0,positive-radius:6; prediction-incorrect:3; zero-radius:3
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,legacy-sparse-asym-0.01,sparse-edge-flip,jaccard,0.02,rest,,0.01,5e-06,64,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9752179551480439,0.950435910296088,0.35518744836250943,0.19982042846580347,2.5833333333333335,0.009999999999999998,5e-06,64.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,legacy-sparse-asym-0.02,sparse-edge-flip,jaccard,0.02,rest,,0.02,1e-05,96,12,0.75,0.75,0.0,0.0,0.75,0.0,0,0.9720388985447349,0.9440777970894704,0.35518744339545566,0.19982043094933033,2.5833333333333335,0.019999999999999997,1e-05,96.0,prediction-incorrect:3; zero-radius:9
7,fixed-config,ablation,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,legacy-sparse-asym-0.05,sparse-edge-flip,jaccard,0.02,rest,,0.05,2e-05,160,12,0.75,0.75,0.0,0.0,0.3333333333333333,0.4166666666666667,1,0.9558209660880473,0.911641932176095,0.35518744836250943,0.19982042846580347,2.5833333333333335,0.049999999999999996,2e-05,160.0,positive-radius:5; prediction-incorrect:3; zero-radius:4
