epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
52,0.8495631217956543,0.9785714285714285,0.796,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
53,0.8291639089584351,0.9785714285714285,0.796,0.805,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
54,0.7818012833595276,0.9785714285714285,0.796,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
55,0.7869298458099365,0.9785714285714285,0.794,0.804,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
56,0.794342041015625,0.9857142857142858,0.79,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
57,0.764068067073822,0.9857142857142858,0.792,0.807,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
58,0.7133498787879944,0.9857142857142858,0.784,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
59,0.7234319448471069,0.9857142857142858,0.786,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
60,0.6891797184944153,0.9857142857142858,0.788,0.808,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
61,0.694850742816925,0.9857142857142858,0.786,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
62,0.6900373101234436,0.9857142857142858,0.786,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
63,0.6755940318107605,0.9857142857142858,0.786,0.805,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
64,0.6902432441711426,0.9785714285714285,0.788,0.808,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
65,0.6553931832313538,0.9785714285714285,0.788,0.81,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
66,0.6299314498901367,0.9785714285714285,0.796,0.809,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
67,0.6300292611122131,0.9714285714285714,0.806,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
68,0.6023414134979248,0.9785714285714285,0.814,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
69,0.6194590330123901,0.9785714285714285,0.804,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
70,0.5685235261917114,0.9785714285714285,0.802,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
