model_variant,attack_variant,target_node,p_delete,p_add,max_additions,clean_test_accuracy,attacked_test_accuracy,clean_margin,attacked_margin,clean_pred,attacked_pred,clean_is_correct,attacked_is_correct,true_label
clean-training,clean-training,2488,0.02,1e-05,96,0.817,0.816,1.0,0.996,1,0,1,0,1
clean-training,clean-training,2488,0.05,2e-05,160,0.817,0.816,0.992,0.992,1,0,1,0,1
clean-training,clean-training,2488,0.1,5e-05,256,0.818,0.817,0.988,0.988,1,0,1,0,1
matched-sparse-noisy-training,matched-sparse-noisy-training,2149,0.02,1e-05,96,0.816,0.815,0.9119999999999999,1.0,3,0,1,0,3
matched-sparse-noisy-training,matched-sparse-noisy-training,2149,0.05,2e-05,160,0.816,0.815,0.8320000000000001,1.0,3,0,1,0,3
matched-sparse-noisy-training,matched-sparse-noisy-training,2149,0.1,5e-05,256,0.816,0.815,0.646,1.0,3,0,1,0,3
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,2488,0.02,1e-05,96,0.817,0.816,1.0,1.0,1,0,1,0,1
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,2488,0.05,2e-05,160,0.817,0.816,1.0,1.0,1,0,1,0,1
clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,2488,0.1,5e-05,256,0.818,0.818,0.986,0.988,1,0,1,0,1
