p_delete,p_add,max_additions,margin_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence,positive_delete_certified_accuracy,positive_add_certified_accuracy,delete_certified_fraction_on_correct,add_certified_fraction_on_correct,mean_delete_radius_on_correct,mean_add_radius_on_correct
0.02,1e-05,96,0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.9402548692679908,0.957,0.0,0.0,0.0,0.0,0.0,0.0
0.02,1e-05,96,1,8,1.0,0.0,1.0,1.0,1.0,1.0,0.9951260323356522,0.9995,1.0,0.0,1.0,0.0,1.0,0.0
0.02,1e-05,96,2,8,1.0,0.0,1.0,1.0,1.0,1.0,0.9957802350939122,0.9998125,1.0,0.0,1.0,0.0,1.0,0.0
0.05,2e-05,160,0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.8785506178474184,0.90175,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2e-05,160,1,8,1.0,0.0,1.0,1.0,1.0,1.0,0.9921695890421905,0.9978125,1.0,0.0,1.0,0.0,1.0,0.0
0.05,2e-05,160,2,8,1.0,0.0,1.0,1.0,1.0,1.0,0.9951951611961836,0.9995,1.0,0.0,1.0,0.0,1.0,0.0
0.1,5e-05,256,0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.7715167696033491,0.80175,0.0,0.0,0.0,0.0,0.0,0.0
0.1,5e-05,256,1,8,1.0,0.0,1.0,1.0,1.0,1.0,0.9861564339846652,0.9939374999999999,1.0,0.0,1.0,0.0,1.0,0.0
0.1,5e-05,256,2,8,1.0,0.0,1.0,1.0,1.0,1.5,0.9932491139686759,0.998375,1.0,0.0,1.0,0.0,1.5,0.0
