p_flip,radius,certified_accuracy
0.02,0,0.375
0.02,1,0.08333333333333333
0.02,2,0.0
0.02,3,0.0
0.02,4,0.0
0.02,5,0.0
0.05,0,0.3333333333333333
0.05,1,0.2916666666666667
0.05,2,0.0
0.05,3,0.0
0.05,4,0.0
0.05,5,0.0
0.1,0,0.3333333333333333
0.1,1,0.3333333333333333
0.1,2,0.2916666666666667
0.1,3,0.0
0.1,4,0.0
0.1,5,0.0
0.2,0,0.3333333333333333
0.2,1,0.3333333333333333
0.2,2,0.3333333333333333
0.2,3,0.3333333333333333
0.2,4,0.3333333333333333
0.2,5,0.0
