summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,12,0.6666666666666666,0.6666666666666666,0.4166666666666667,1,0.9795819762734533
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,12,0.6666666666666666,0.6666666666666666,0.4166666666666667,1,0.9658282127211537
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,0.996107188946331
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,0.9962067613450979
fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.3333333333333333,0.3333333333333333,5,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9852969219506523
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9786745797742817
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,1,0.9600231060311764
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9857267461832765
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.977449157426686
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.18181818181818182,1,0.9607115543170196
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.6363636363636364,0.6363636363636364,0.09090909090909091,1,0.982371825175554
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.6363636363636364,0.6363636363636364,0.09090909090909091,1,0.9743150039777628
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.6363636363636364,0.6363636363636364,0.18181818181818182,1,0.9536352203805076
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,4,0.9962067613450979
fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.6363636363636364,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
