seed,summary_type,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_target_edge_retention,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts
42,oracle-best-correct,clean-training,clean-training,0.05,11,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.6363636363636364,5,0.982203846021715,0.24393939393939393,7,4,sparse-asym-0.01:5; sparse-asym-0.05:1; symmetric-0.3:1
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.5833333333333334,0.6666666666666666,0.4166666666666667,1.75,5,0.9893839044754899,0.34801587301587306,8,4,sparse-asym-0.01:4; symmetric-0.3:4
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.5833333333333334,0.6666666666666666,0.4166666666666667,1.75,5,0.9893173481223135,0.34801587301587306,8,4,sparse-asym-0.01:4; symmetric-0.3:4
42,oracle-best-correct,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.6666666666666666,0.75,0.5,1.8333333333333333,5,0.9904335044704391,0.2728174603174603,9,3,sparse-asym-0.01:5; symmetric-0.3:4
42,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,12,0.5,0.5,0.25,0.5833333333333334,5,0.98802622908706,0.3965277777777778,6,6,sparse-asym-0.01:5; symmetric-0.3:1
42,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,12,0.5,0.5,0.3333333333333333,0.6666666666666666,5,0.9857808738740514,0.3965277777777778,6,6,sparse-asym-0.01:4; sparse-asym-0.05:1; symmetric-0.3:1
42,oracle-best-correct,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,12,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.6666666666666666,5,0.9837674837732072,0.2736111111111111,7,5,sparse-asym-0.01:5; sparse-asym-0.05:1; symmetric-0.3:1
84,oracle-best-correct,clean-training,clean-training,0.01,12,0.4166666666666667,0.5833333333333334,0.25,0.9166666666666666,5,0.9875838691337607,0.43977272727272726,7,5,sparse-asym-0.01:4; sparse-asym-0.02:1; symmetric-0.3:2
84,oracle-best-correct,clean-training,clean-training,0.02,12,0.4166666666666667,0.5833333333333334,0.25,0.9166666666666666,5,0.988076278978599,0.43977272727272726,7,5,sparse-asym-0.01:5; symmetric-0.3:2
84,oracle-best-correct,clean-training,clean-training,0.05,12,0.5,0.5833333333333334,0.3333333333333333,1.0,5,0.9872223721008883,0.26353715728715726,7,5,sparse-asym-0.01:5; symmetric-0.3:2
