p_flip,evaluated_nodes,correct_fraction,positive_certified_accuracy,certified_fraction_on_correct,mean_certified_radius_on_correct
0.02,24,0.375,0.08333333333333333,0.2222222222222222,0.2222222222222222
0.05,24,0.3333333333333333,0.2916666666666667,0.875,0.875
0.1,24,0.3333333333333333,0.3333333333333333,1.0,1.875
0.2,24,0.3333333333333333,0.3333333333333333,1.0,4.0
