model_variant,certificate_family,radius_type,p_flip,radius,certified_accuracy,p_delete,p_add,max_additions,certified_nodes,evaluated_nodes
matched-sparse-noisy-training,symmetric,symmetric,0.2,4,0.3333333333333333,,,,,
matched-sparse-noisy-training,symmetric,symmetric,0.2,5,0.0,,,,,
matched-sparse-noisy-training,sparse-asymmetric,total,,0,0.875,0.02,1e-05,96,21,24
matched-sparse-noisy-training,sparse-asymmetric,total,,1,0.5833333333333334,0.02,1e-05,96,14,24
matched-sparse-noisy-training,sparse-asymmetric,total,,2,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,3,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,4,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,5,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,0,0.875,0.02,1e-05,96,21,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,1,0.5833333333333334,0.02,1e-05,96,14,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,2,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,3,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,4,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,5,0.0,0.02,1e-05,96,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,0,0.875,0.05,2e-05,160,21,24
matched-sparse-noisy-training,sparse-asymmetric,total,,1,0.6666666666666666,0.05,2e-05,160,16,24
matched-sparse-noisy-training,sparse-asymmetric,total,,2,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,3,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,4,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,5,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,0,0.875,0.05,2e-05,160,21,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,1,0.6666666666666666,0.05,2e-05,160,16,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,2,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,3,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,4,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,5,0.0,0.05,2e-05,160,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,0,0.875,0.1,5e-05,256,21,24
matched-sparse-noisy-training,sparse-asymmetric,total,,1,0.6666666666666666,0.1,5e-05,256,16,24
matched-sparse-noisy-training,sparse-asymmetric,total,,2,0.20833333333333334,0.1,5e-05,256,5,24
matched-sparse-noisy-training,sparse-asymmetric,total,,3,0.0,0.1,5e-05,256,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,4,0.0,0.1,5e-05,256,0,24
matched-sparse-noisy-training,sparse-asymmetric,total,,5,0.0,0.1,5e-05,256,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,0,0.875,0.1,5e-05,256,21,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,1,0.6666666666666666,0.1,5e-05,256,16,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,2,0.20833333333333334,0.1,5e-05,256,5,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,3,0.0,0.1,5e-05,256,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,4,0.0,0.1,5e-05,256,0,24
matched-sparse-noisy-training,sparse-asymmetric,deletion_only,,5,0.0,0.1,5e-05,256,0,24
