threshold,attack_budget,clean_test_accuracy,attacked_test_accuracy,clean_edge_retention,attacked_edge_retention,clean_mean_jaccard,attacked_mean_jaccard
0.0,50,0.817,0.789,1.0,1.0,0.09369021654129028,0.092900350689888
0.01,50,0.805,0.799,0.8916256157635468,0.8855105105105106,0.09369021654129028,0.092900350689888
0.02,50,0.805,0.799,0.8916256157635468,0.8855105105105106,0.09369021654129028,0.092900350689888
0.05,50,0.783,0.779,0.695907540735127,0.6901276276276276,0.09369021654129028,0.092900350689888
