p_delete,p_add,max_additions,degree_bucket,evaluated_nodes,correct_fraction,abstained_fraction,non_abstain_accuracy,positive_certified_accuracy,certified_fraction_on_correct,mean_reported_radius_on_correct,mean_pA_lower,mean_smoothed_confidence,positive_delete_certified_accuracy,positive_add_certified_accuracy,delete_certified_fraction_on_correct,add_certified_fraction_on_correct,mean_delete_radius_on_correct,mean_add_radius_on_correct
0.02,1e-05,96,0,9,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9814673577366995,0.9894444444444443,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
0.02,1e-05,96,1,9,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9770530344688074,0.9853333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
0.02,1e-05,96,2,6,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9704342606218135,0.9795833333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
0.05,2e-05,160,0,9,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9637578483802748,0.9745,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
0.05,2e-05,160,1,9,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9558026137820003,0.9668333333333332,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
0.05,2e-05,160,2,6,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.941879797537644,0.9534166666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
0.1,5e-05,256,0,9,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9276650285607536,0.9424444444444444,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
0.1,5e-05,256,1,9,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.9148734820231686,0.9291666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.8888888888888888,0.0
0.1,5e-05,256,2,6,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.904088657533037,0.918,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.0
