epoch,loss,train,val,test
1,1.9459285736083984,0.2714285714285714,0.098,0.121
2,1.9384273290634155,0.6571428571428571,0.324,0.369
3,1.9293491840362549,0.9071428571428571,0.712,0.704
4,1.917214274406433,0.9071428571428571,0.692,0.69
5,1.9013787508010864,0.9214285714285714,0.696,0.708
6,1.8906723260879517,0.9428571428571428,0.694,0.736
7,1.8780133724212646,0.9142857142857143,0.668,0.695
8,1.8585983514785767,0.9071428571428571,0.628,0.668
9,1.8387424945831299,0.8785714285714286,0.622,0.638
10,1.82379150390625,0.8857142857142857,0.618,0.634
11,1.802694320678711,0.8928571428571429,0.636,0.652
12,1.7785749435424805,0.9,0.658,0.686
13,1.754614233970642,0.9,0.672,0.704
14,1.7445788383483887,0.9285714285714286,0.68,0.719
15,1.7047090530395508,0.9285714285714286,0.7,0.722
16,1.6871094703674316,0.9357142857142857,0.702,0.733
17,1.6629136800765991,0.9428571428571428,0.71,0.738
18,1.629111409187317,0.9428571428571428,0.712,0.744
19,1.6026252508163452,0.9428571428571428,0.716,0.741
20,1.5731509923934937,0.95,0.72,0.739
21,1.5451833009719849,0.95,0.724,0.746
22,1.528210163116455,0.95,0.716,0.746
23,1.492197036743164,0.95,0.718,0.741
24,1.449905276298523,0.9428571428571428,0.722,0.737
25,1.4273579120635986,0.95,0.728,0.741
26,1.4026764631271362,0.95,0.736,0.744
27,1.3559908866882324,0.95,0.746,0.751
28,1.3435736894607544,0.9571428571428572,0.76,0.755
29,1.3075056076049805,0.9642857142857143,0.764,0.759
30,1.2797622680664062,0.9642857142857143,0.768,0.763
31,1.2210631370544434,0.9642857142857143,0.768,0.776
32,1.2173869609832764,0.9642857142857143,0.766,0.773
33,1.1779468059539795,0.9642857142857143,0.772,0.776
34,1.1461477279663086,0.9642857142857143,0.772,0.78
35,1.077040672302246,0.9571428571428572,0.774,0.781
36,1.083228349685669,0.9571428571428572,0.774,0.785
37,1.046970248222351,0.9571428571428572,0.772,0.784
38,1.0385981798171997,0.9642857142857143,0.772,0.786
39,0.9951943755149841,0.9714285714285714,0.776,0.788
40,0.990907609462738,0.9785714285714285,0.776,0.788
41,0.9403899312019348,0.9785714285714285,0.778,0.788
42,0.9028511643409729,0.9785714285714285,0.778,0.79
43,0.8736222386360168,0.9785714285714285,0.776,0.79
44,0.8849265575408936,0.9785714285714285,0.776,0.79
45,0.8509945273399353,0.9785714285714285,0.786,0.793
46,0.8237274885177612,0.9857142857142858,0.788,0.8
47,0.8180456161499023,0.9857142857142858,0.79,0.807
48,0.7852977514266968,0.9857142857142858,0.792,0.809
