seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,failure_reason_counts
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.25,0.0,0.0,0.0,0.25,5,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.25,0.0,0.0,0.0,0.25,2,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.25,0.0,0.0,0.0,0.25,2,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.25,0.0,0.0,0.0,0.25,5,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.25,0.0,0.0,0.0,0.25,2,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.25,0.0,0.0,0.0,0.25,2,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.25,0.0,0.0,0.0,0.25,5,0.9811771485586083,0.9623542971172169,positive-radius:3; prediction-incorrect:9
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.16666666666666666,0.5,0.0,0,0.5961165146147702,0.19223302922954036,abstained:2; prediction-incorrect:4; zero-radius:6
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6039339558170954,0.20786791163419086,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5,0.08333333333333333,1,0.60077217799551,0.20154435599101972,positive-radius:1; prediction-incorrect:5; zero-radius:6
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0,0.6016155565155566,0.20323111303111338,abstained:1; prediction-incorrect:4; zero-radius:7
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.5833333333333334,0.25,0.0,0.5833333333333334,0.0,0,0.601669241469641,0.20333848293928206,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,1,0.6079320530850532,0.2158641061701062,positive-radius:2; prediction-incorrect:5; zero-radius:5
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6064147709042621,0.21282954180852387,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.5833333333333334,0.0,0,0.6106035158821878,0.22120703176437587,prediction-incorrect:5; zero-radius:7
7,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.5833333333333334,0.3333333333333333,0.0,0.4166666666666667,0.16666666666666666,1,0.5942533228255288,0.18850664565105765,positive-radius:2; prediction-incorrect:5; zero-radius:5
42,fixed-config,mainline,clean-training,clean-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9580166264052606,0.9160332528105212,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9559569292155075,0.9119138584310147,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.974481694050382,0.9489633881007641,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9556805488492145,0.9113610976984287,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9478392132007688,0.8956784264015375,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.973855738532724,0.9477114770654483,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.951758387009674,0.9035167740193475,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9550094389364626,0.9100188778729251,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-training,clean-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.8181818181818182,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.9736367827493825,0.9472735654987651,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.0,0.4166666666666667,0.0,0,0.5752760803205732,0.15055216064114638,prediction-incorrect:7; zero-radius:5
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.0,0,0.5784139707609347,0.1568279415218693,abstained:1; prediction-incorrect:7; zero-radius:4
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.5833333333333334,0.4166666666666667,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,1,0.5990252697920982,0.19805053958419672,abstained:1; positive-radius:2; prediction-incorrect:7; zero-radius:2
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.5833333333333334,0.4166666666666667,0.25,0.0,0.4166666666666667,0.0,0,0.5739796599253997,0.14795931985079958,prediction-incorrect:7; zero-radius:5
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.0,0,0.5716115594602023,0.1432231189204046,abstained:1; prediction-incorrect:7; zero-radius:4
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.5833333333333334,0.4166666666666667,0.25,0.08333333333333333,0.25,0.08333333333333333,1,0.6099474148740397,0.21989482974807958,abstained:1; positive-radius:1; prediction-incorrect:7; zero-radius:3
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.0,0,0.5613312071593123,0.12266241431862467,abstained:1; prediction-incorrect:7; zero-radius:4
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.0,0,0.5692499583888336,0.13849991677766707,abstained:1; prediction-incorrect:7; zero-radius:4
42,fixed-config,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.6666666666666666,0.4166666666666667,0.25,0.08333333333333333,0.25,0.08333333333333333,1,0.5846192848421209,0.1692385696842418,abstained:1; positive-radius:1; prediction-incorrect:7; zero-radius:3
