seed,summary_type,config_branch,model_variant,attack_variant,threshold,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,mean_reported_radius,max_reported_radius,mean_pA_lower,mean_lower_margin,mean_target_edge_retention,nodes_with_correct_config,nodes_without_correct_config,correct_selected_config_counts,failure_reason_counts
42,oracle-best-correct,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.6666666666666666,0.4166666666666667,0.25,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333,1,0.5802854765289471,0.16057095305789434,0.2604166666666667,5,7,balanced-sparse-0.2:2; symmetric-0.2:1; symmetric-0.3:2,positive-radius:1; prediction-incorrect:7; zero-radius:4
42,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,12,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,0.4785714285714286,0,12,,prediction-incorrect:12
42,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,12,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9801947140747155,0.9603894281494313,0.4785714285714286,0,12,,prediction-incorrect:12
42,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,12,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,0.2913690476190476,0,12,,prediction-incorrect:12
42,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9811771485586083,0.9623542971172168,0.36818181818181817,7,4,symmetric-0.3:7,positive-radius:7; prediction-incorrect:4
42,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9811771485586083,0.9623542971172168,0.36818181818181817,7,4,symmetric-0.3:7,positive-radius:7; prediction-incorrect:4
42,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,3.1818181818181817,5,0.9811771485586083,0.9623542971172168,0.25205627705627703,7,4,symmetric-0.3:7,positive-radius:7; prediction-incorrect:4
99,oracle-best-correct,mainline,clean-training,clean-training,0.01,12,0.5,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,5,0.9811771485586083,0.9623542971172169,0.5215430402930403,1,11,symmetric-0.3:1,positive-radius:1; prediction-incorrect:11
99,oracle-best-correct,mainline,clean-training,clean-training,0.02,12,0.5,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,5,0.9811771485586083,0.9623542971172169,0.5215430402930403,1,11,symmetric-0.3:1,positive-radius:1; prediction-incorrect:11
99,oracle-best-correct,mainline,clean-training,clean-training,0.05,12,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,5,0.9811771485586083,0.9623542971172169,0.3351114163614164,1,11,symmetric-0.3:1,positive-radius:1; prediction-incorrect:11
99,oracle-best-correct,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.01,12,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,1,0.5874584433086116,0.17491688661722324,0.41924603174603176,5,7,balanced-sparse-0.2:3; symmetric-0.3:2,abstained:2; positive-radius:1; prediction-incorrect:7; zero-radius:2
99,oracle-best-correct,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.02,12,0.5833333333333334,0.5,0.5,0.25,0.16666666666666666,0.08333333333333333,0.08333333333333333,1,0.5601706616624873,0.12034132332497464,0.41924603174603176,6,6,balanced-sparse-0.2:2; symmetric-0.2:2; symmetric-0.3:2,abstained:3; positive-radius:1; prediction-incorrect:6; zero-radius:2
99,oracle-best-correct,mainline,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,12,0.75,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,1,0.5715411602574093,0.14308232051481864,0.26607142857142857,5,7,balanced-sparse-0.2:2; symmetric-0.2:1; symmetric-0.3:2,abstained:2; positive-radius:1; prediction-incorrect:7; zero-radius:2
99,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,12,0.5,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,5,0.9811771485586083,0.9623542971172169,0.3607142857142857,2,10,symmetric-0.3:2,positive-radius:2; prediction-incorrect:10
99,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,12,0.5,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,5,0.9811771485586083,0.9623542971172169,0.3607142857142857,2,10,symmetric-0.3:2,positive-radius:2; prediction-incorrect:10
99,oracle-best-correct,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,12,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.8333333333333334,5,0.9811771485586083,0.9623542971172169,0.2530753968253968,2,10,symmetric-0.3:2,positive-radius:2; prediction-incorrect:10
99,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,12,0.5,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,5,0.9801947140747157,0.9603894281494312,0.5215430402930403,1,11,symmetric-0.3:1,positive-radius:1; prediction-incorrect:11
99,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,12,0.5,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,5,0.9811771485586083,0.9623542971172169,0.5215430402930403,1,11,symmetric-0.3:1,positive-radius:1; prediction-incorrect:11
99,oracle-best-correct,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,12,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.4166666666666667,5,0.9811771485586083,0.9623542971172169,0.3351114163614164,1,11,symmetric-0.3:1,positive-radius:1; prediction-incorrect:11
